CarParkID,Area,Development,Location,AvailableLots,LotType,Agency
P0048,,PEARL BANK OFF STREET,1.2833483597834672 103.84053784909122,1,Y,URA
P0054,,PASIR PANJANG FOOD CENTRE OFF STREET,1.276199590285395 103.79131016138153,0,Y,URA
P0054,,PASIR PANJANG FOOD CENTRE OFF STREET,1.276199590285395 103.79131016138153,62,C,URA
P0075,,PENHAS ROAD / LAVENDER STREET OFF STREET,1.3099941806456645 103.86276472942548,17,C,URA
P0093,,PASIR PANJANG ROAD OFF  STREET,1.2767043723268199 103.79566016940372,15,C,URA
P0094,,PASIR PANJANG ROAD / SOUTH BUONA VISTA ROAD,1.278902209141637 103.78560248250301,0,Y,URA
P0094,,PASIR PANJANG ROAD / SOUTH BUONA VISTA ROAD,1.278902209141637 103.78560248250301,26,C,URA
P0096,,PENANG ROAD OFF STREET,1.29980874920638 103.84212527391578,1,C,URA
P0106,,PASIR PANJANG ROAD/ CLEMENTI ROAD OFF ST,1.2915978691049539 103.76812504370315,46,C,URA
P0106,,PASIR PANJANG ROAD/ CLEMENTI ROAD OFF ST,1.2915978691049539 103.76812504370315,0,Y,URA
P0109,,PASIR RIS PARK CAR PARK E OFF STREET,1.384591856813094 103.94380876998527,25,C,URA
P0111,,PAHANG STREET OFF STREET,1.301759650174214 103.86086565472472,28,C,URA
P0113,,PASIR PANJANG FOOD CENTRE (TEMP) OFF ST,1.2753574846084121 103.79247441821592,76,C,URA
P0113,,PASIR PANJANG FOOD CENTRE (TEMP) OFF ST,1.2753574846084121 103.79247441821592,0,Y,URA
P0117,,PECK SEAH STREET OFF STREET,1.2774732980424977 103.84526725219939,0,Y,URA
P0117,,PECK SEAH STREET OFF STREET,1.2774732980424977 103.84526725219939,150,C,URA
Q0006,,QUEEN STREET OFF STREET,1.2999226816586922 103.85336325926622,0,Y,URA
Q0006,,QUEEN STREET OFF STREET,1.2999226816586922 103.85336325926622,0,C,URA
Q0008,,QUEENSWAY OFF STREET ( RIDEOUT TEA GARDEN),1.304678940975563 103.80216512483725,66,C,URA
R0038,,RACE COURSE ROAD / NORTHUMBERLAND ROAD,1.3109181708259368 103.85225012243872,9,Y,URA
R0038,,RACE COURSE ROAD / NORTHUMBERLAND ROAD,1.3109181708259368 103.85225012243872,128,C,URA
S0020,,SEMBAWANG HILLS FOOD CENTRE OFF STREET,1.3722654677464599 103.8288231857784,17,C,URA
S0049,,Serangoon Rd/Lavender  St Off Street,1.3148874577182357 103.8585875713976,101,C,URA
S0049,,Serangoon Rd/Lavender  St Off Street,1.3148874577182357 103.8585875713976,5,Y,URA
S0055,,SERANGOON GARDEN MARKET OFF STREET,1.3627998667047532 103.86632587825486,104,C,URA
S0106,,SIN MING DRIVE OFF STREET,1.3566926857648622 103.83606317799318,54,C,URA
S0108,,SHREWSBURY ROAD OFF STREET,1.3186024746953806 103.85067798545586,19,C,URA
S0108,,SHREWSBURY ROAD OFF STREET,1.3186024746953806 103.85067798545586,3,Y,URA
S0112,,SEAH IM ROAD OFF STREET,1.2680395173231764 103.81759598210823,456,C,URA
S0112,,SEAH IM ROAD OFF STREET,1.2680395173231764 103.81759598210823,372,Y,URA
